train/n_updates,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/loss,time/fps,time/episodes,rollout/ep_len_mean,train/learning_rate,rollout/exploration_rate
60,341,-229.15088125,0,4.786548614501953,1087,4,85.25,0.0004,0.9983103603603604
152,711,-170.572945125,0,7.166041374206543,932,8,88.875,0.0004,0.996477027027027
240,1063,-203.00732241666665,1,2.2003931999206543,880,12,88.58333333333333,0.0004,0.994732882882883
334,1439,-185.540020625,1,0.7208211421966553,866,16,89.9375,0.0004,0.9928698198198199
422,1791,-171.6084308,2,3.6330935955047607,864,20,89.55,0.0004,0.9911256756756757
521,2186,-172.70745387499997,2,0.5197428464889526,848,24,91.08333333333333,0.0004,0.9891684684684685
611,2548,-165.50561039285714,3,0.9127309322357178,845,28,91.0,0.0004,0.9873747747747748
719,2977,-167.75550149999998,3,3.7883989810943604,852,32,93.03125,0.0004,0.9852490990990991
848,3496,-163.0535033611111,4,0.5005404353141785,863,36,97.11111111111111,0.0004,0.9826774774774775
941,3865,-161.396205125,4,1.3364062309265137,854,40,96.625,0.0004,0.980849099099099
1031,4227,-157.88692345454544,5,0.489579975605011,839,44,96.06818181818181,0.0004,0.9790554054054054
1136,4648,-162.47945385416665,5,0.44024336338043213,831,48,96.83333333333333,0.0004,0.9769693693693693
1231,5026,-165.66540659615384,6,0.4344172477722168,835,52,96.65384615384616,0.0004,0.9750963963963964
1327,5412,-174.68626241071428,6,0.4123254418373108,828,56,96.64285714285714,0.0004,0.9731837837837838
1422,5791,-171.59217371666668,7,0.5997260212898254,825,60,96.51666666666667,0.0004,0.9713058558558559
1506,6128,-172.681798515625,7,0.5035314559936523,822,64,95.75,0.0004,0.969636036036036
1589,6457,-172.45212961764705,7,0.326946884393692,822,68,94.95588235294117,0.0004,0.9680058558558559
1685,6843,-172.36167433333333,8,0.35022974014282227,821,72,95.04166666666667,0.0004,0.9660932432432432
1770,7182,-175.90534865789473,8,0.5719890594482422,818,76,94.5,0.0004,0.9644135135135136
1875,7604,-181.155804725,9,0.47000640630722046,822,80,95.05,0.0004,0.9623225225225226
1964,7958,-177.42313317857145,9,3.6177146434783936,824,84,94.73809523809524,0.0004,0.9605684684684684
2060,8342,-176.91113386363634,10,0.8179037570953369,828,88,94.79545454545455,0.0004,0.9586657657657658
2149,8699,-173.2916512717391,10,0.49570631980895996,831,92,94.55434782608695,0.0004,0.9568968468468468
2231,9026,-171.56898172916667,10,1.4328644275665283,831,96,94.02083333333333,0.0004,0.9552765765765766
2336,9447,-170.38494408999998,11,3.652179002761841,833,100,94.47,0.0004,0.9531905405405405
2423,9794,-167.49412714000002,11,0.4084984362125397,835,104,94.53,0.0004,0.9514711711711712
2512,10150,-169.90161121,12,1.2449911832809448,837,108,94.39,0.0004,0.9497072072072072
2616,10568,-166.75331422,12,0.881877064704895,839,112,95.05,0.0004,0.9476360360360361
2707,10932,-166.38578795,12,0.5518402457237244,841,116,94.93,0.0004,0.9458324324324324
2797,11291,-169.6534114,13,2.7114555835723877,843,120,95.0,0.0004,0.9440536036036036
2876,11606,-169.45084792999998,13,3.7404372692108154,845,124,94.2,0.0004,0.9424927927927927
2977,12010,-170.57773610999996,14,0.7694687843322754,849,128,94.62,0.0004,0.940490990990991
3078,12413,-170.68704993,14,0.6002441644668579,853,132,94.36,0.0004,0.9384941441441441
3164,12759,-170.15930587,14,3.4429211616516113,855,136,92.63,0.0004,0.9367797297297297
3274,13198,-172.38475667999998,15,0.49930810928344727,857,140,93.33,0.0004,0.9346045045045045
3367,13571,-172.04566653999998,15,0.3348097503185272,858,144,93.44,0.0004,0.9327563063063063
3491,14065,-169.18773453000003,16,3.9673945903778076,862,148,94.17,0.0004,0.9303085585585587
3571,14387,-168.18263866000004,16,0.8977782726287842,863,152,93.61,0.0004,0.9287130630630631
3657,14732,-162.18929239000002,17,0.5807735323905945,865,156,93.2,0.0004,0.9270036036036036
3744,15077,-164.39918002000002,17,0.46512243151664734,867,160,92.86,0.0004,0.9252941441441441
3834,15438,-162.65016423000003,17,0.3803114891052246,867,164,93.1,0.0004,0.9235054054054055
3940,15862,-161.35161412000002,18,0.7195248603820801,866,168,94.05,0.0004,0.9214045045045045
4038,16253,-159.65898035,18,0.49778735637664795,867,172,94.1,0.0004,0.919467117117117
4126,16607,-154.57991702,19,0.17701676487922668,869,176,94.25,0.0004,0.9177130630630631
4225,17002,-151.84730615,19,0.4314499497413635,869,180,93.98,0.0004,0.9157558558558558
4309,17338,-152.07742683,19,0.18454289436340332,868,184,93.8,0.0004,0.9140909909909909
4417,17769,-148.8415163,20,3.8473827838897705,867,188,94.27,0.0004,0.9119554054054054
4506,18127,-148.60043048,20,0.8352417945861816,868,192,94.28,0.0004,0.9101815315315315
4615,18564,-149.7469109,21,3.199636697769165,869,196,95.38,0.0004,0.9080162162162162
4701,18908,-147.07060366000002,21,3.366631269454956,868,200,94.61,0.0004,0.9063117117117118
4793,19273,-148.68586233,22,3.262498617172241,867,204,94.79,0.0004,0.9045031531531531
4888,19653,-149.8073556,22,3.206007719039917,866,208,95.03,0.0004,0.9026202702702703
4990,20062,-145.28699355999998,23,4.015563488006592,866,212,94.94,0.0004,0.9005936936936937
5096,20485,-147.38565993000003,23,0.35072916746139526,866,216,95.53,0.0004,0.8984977477477478
5190,20862,-143.52194946,24,0.39773112535476685,867,220,95.71,0.0004,0.8966297297297298
5301,21307,-142.1432143,24,3.268965005874634,868,224,97.01,0.0004,0.8944247747747748
