rollout/ep_rew_mean,time/episodes,time/time_elapsed,train/n_updates,train/learning_rate,rollout/ep_len_mean,rollout/exploration_rate,train/loss,time/total_timesteps,time/fps
2.44,372,378,19484,0.0004,237.36,0.2266405405405405,7.114913023542613e-05,78039,205
2.5,376,384,19762,0.0004,241.44,0.21562072072072058,2.755471723503433e-05,79151,205
2.56,380,390,20068,0.0004,245.26,0.2035108108108108,3.094866042374633e-05,80373,205
2.55,384,395,20292,0.0004,246.0,0.19462162162162167,4.9075824790634215e-05,81270,205
2.59,388,401,20583,0.0004,249.43,0.1830666666666667,1.580489333719015e-05,82436,205
2.56,392,409,20925,0.0004,252.7,0.16953963963963958,0.0008564415038563311,83801,204
2.57,396,414,21213,0.0004,256.22,0.15810360360360354,0.0007009640685282648,84955,204
2.55,400,419,21509,0.0004,258.24,0.14636036036036026,0.015521842986345291,86140,205
2.52,404,422,21700,0.0004,256.89,0.13878918918918914,4.2686311644501984e-05,86904,205
2.58,408,427,22020,0.0004,259.82,0.1261342342342343,0.015685947611927986,88181,206
2.55,412,431,22297,0.0004,260.37,0.11514414414414409,6.380362901836634e-05,89290,207
2.49,416,435,22559,0.0004,260.07,0.10476846846846855,0.0007924609235487878,90337,207
2.41,420,440,22917,0.0004,260.54,0.09057747747747746,7.783492765156552e-05,91769,208
2.36,424,443,23088,0.0004,259.07,0.0837792792792793,1.8056438420899212e-05,92455,208
2.4,428,448,23449,0.0004,264.6,0.06945945945945953,0.01552355196326971,93900,209
2.43,432,455,23832,0.0004,270.07,0.054287387387387476,2.4971468519652262e-05,95431,209
2.44,436,461,24198,0.0004,275.8,0.03979909909909918,2.4017499526962638e-05,96893,210
2.39,440,465,24470,0.0004,278.02,0.029017117117117186,1.5226098184939474e-05,97981,210
