time/iterations,rollout/ep_rew_mean,time/fps,train/learning_rate,train/policy_loss,train/n_updates,time/total_timesteps,train/explained_variance,rollout/ep_len_mean,time/time_elapsed,train/entropy_loss,train/value_loss
5700,112.25,296,0.0007,-0.0017811108846217394,5699,28500,-4168.38525390625,112.25,96,-0.4226561486721039,0.00011328931577736512
5800,115.66,296,0.0007,-0.002344307489693165,5799,29000,-13.361732482910156,115.66,97,-0.43977198004722595,2.5188946892740205e-05
5900,119.74,296,0.0007,-0.004749645013362169,5899,29500,-10.47430419921875,119.74,99,-0.44926077127456665,0.00011373275629011914
6000,123.7,295,0.0007,-0.0011297576129436493,5999,30000,-30570.19921875,123.7,101,-0.3616757094860077,6.29536370979622e-05
6100,127.76,295,0.0007,-0.003140968969091773,6099,30500,-21.853395462036133,127.76,103,-0.45271167159080505,4.2676867451518774e-05
6200,132.1,295,0.0007,-0.002535589737817645,6199,31000,-26.081499099731445,132.1,104,-0.44044923782348633,2.6772870114655234e-05
6300,136.2,295,0.0007,-7.741057925159112e-05,6299,31500,-628.5341796875,136.2,106,-0.25962740182876587,1.6526691979379393e-05
6400,140.23,295,0.0007,-0.0019990194123238325,6399,32000,-17.52471160888672,140.23,108,-0.41375571489334106,1.9276038074167445e-05
6500,144.34,295,0.0007,-0.00027389489696361125,6499,32500,-35.46366500854492,144.34,109,-0.3621668517589569,1.7804792150855064e-05
6600,148.43,295,0.0007,0.0006740664248354733,6599,33000,-17.110950469970703,148.43,111,-0.27435794472694397,1.356983557343483e-05
6700,152.28,295,0.0007,-0.0009839468402788043,6699,33500,-8.419109344482422,152.28,113,-0.3879720866680145,5.552533821173711e-06
6800,156.05,295,0.0007,-0.0022654819767922163,6799,34000,-3.8260574340820312,156.05,115,-0.41377195715904236,1.642282586544752e-05
6900,160.44,295,0.0007,-0.003320039017125964,6899,34500,-19.98430824279785,160.44,116,-0.2535012662410736,9.743450391397346e-06
7000,164.92,295,0.0007,-0.0007633000495843589,6999,35000,-0.8489929437637329,164.92,118,-0.2922581136226654,2.600322432044777e-06
7100,169.3,295,0.0007,-5.52121018699836e-05,7099,35500,0.710809051990509,169.3,120,-0.29749563336372375,3.4567202078505943e-07
7200,173.66,295,0.0007,0.00025301097775809467,7199,36000,-8.148286819458008,173.66,121,-0.40924522280693054,6.594008482352365e-06
7300,178.05,295,0.0007,-0.0003980433684773743,7299,36500,-3.634946346282959,178.05,123,-0.3455599248409271,1.5451340686922777e-06
7400,182.43,295,0.0007,-0.0015007606707513332,7399,37000,-0.6145983934402466,182.43,125,-0.378188818693161,8.461031029582955e-06
7500,186.85,295,0.0007,-2.0431434677448124e-05,7499,37500,-7.286500930786133,186.85,126,-0.33155113458633423,1.5968689695000648e-06
7600,191.1,295,0.0007,-0.00023278310254681855,7599,38000,-0.061316847801208496,191.1,128,-0.29160380363464355,3.508641555072245e-07
7700,195.63,295,0.0007,-0.00015528957010246813,7699,38500,-7.038961410522461,195.63,130,-0.230608269572258,2.094404862873489e-06
7800,199.64,295,0.0007,0.0015391561901196837,7799,39000,-106.8300552368164,199.64,131,-0.21612553298473358,2.010002572205849e-05
7900,203.76,296,0.0007,-1.2207735380798113e-05,7899,39500,0.7764981985092163,203.76,133,-0.23475494980812073,2.1322630061604286e-07
8000,207.96,295,0.0007,-3.644101889221929e-05,7999,40000,-2.275078535079956,207.96,135,-0.27939629554748535,5.027628731113509e-07
8100,211.0,295,0.0007,3.5917437344323844e-05,8099,40500,-0.335182785987854,211.0,136,-0.22865381836891174,9.515671877124987e-07
8200,214.18,295,0.0007,-7.985125193954445e-06,8199,41000,0.9597904682159424,214.18,138,-0.10424130409955978,1.4569377526640892e-07
8300,218.14,296,0.0007,-0.001736441976390779,8299,41500,0.6922342777252197,218.14,140,-0.11429784446954727,6.082456366129918e-06
8400,221.73,296,0.0007,-1.2827216551158926e-06,8399,42000,0.9185972809791565,221.73,141,-0.06824123114347458,1.1769588859067426e-08
8500,225.54,296,0.0007,4.695962343248539e-05,8499,42500,-24.516475677490234,225.54,143,-0.10786048322916031,1.1175766303495038e-05
8600,228.48,296,0.0007,-0.0012374790385365486,8599,43000,-3.3148069381713867,228.48,145,-0.13222436606884003,1.8794671632349491e-06
8700,232.6,296,0.0007,2.2424662802222883e-06,8699,43500,-2.334064245223999,232.6,146,-0.28348487615585327,5.020643811803893e-07
8800,235.96,296,0.0007,9.408837649971247e-05,8799,44000,-16.896413803100586,235.96,148,-0.28421685099601746,8.929171713134565e-07
8900,238.96,296,0.0007,1.4807521438342519e-05,8899,44500,-14888.1337890625,238.96,150,-0.23581114411354065,1.1231634289288195e-06
9000,241.86,296,0.0007,-3.763442919080262e-06,8999,45000,0.27395713329315186,241.86,151,-0.14862392842769623,0.000128664803924039
9100,243.17,296,0.0007,0.00012882710143458098,9099,45500,0.9304074645042419,243.17,153,-0.11375968903303146,2.672262598935049e-05
9200,245.88,296,0.0007,1.8451812138664536e-05,9199,46000,0.8420489430427551,245.88,155,-0.15798966586589813,1.1710683338606032e-06
9300,249.54,296,0.0007,3.306056169094518e-05,9299,46500,0.24881112575531006,249.54,156,-0.13382311165332794,1.8514925841373042e-06
9400,252.88,296,0.0007,-2.35921597777633e-05,9399,47000,-18.083744049072266,252.88,158,-0.16138596832752228,1.3827812495037506e-07
9500,256.05,296,0.0007,-0.00012132088158978149,9499,47500,-4.91382360458374,256.05,160,-0.1849052459001541,1.299066980209318e-06
9600,259.51,296,0.0007,-0.0009789209580048919,9599,48000,-4.447546482086182,259.51,161,-0.4101278781890869,5.134043931320775e-06
9700,263.69,296,0.0007,1.9024739685846725e-06,9699,48500,0.9894852042198181,263.69,163,-0.17370860278606415,5.110632805838122e-09
