rollout/ep_len_mean,time/episodes,time/total_timesteps,rollout/exploration_rate,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/n_updates,train/loss,train/learning_rate
23.35,212,4876,0.9516792792792792,528,9,23.35,1193,4.367770452518016e-05,0.0004
23.41,216,4986,0.9505891891891892,529,9,23.41,1221,0.0001470082061132416,0.0004
23.22,220,5067,0.9497864864864864,530,9,23.22,1241,1.6173056792467833e-05,0.0004
23.12,224,5155,0.9489144144144144,531,9,23.12,1263,2.014541496464517e-05,0.0004
22.91,228,5241,0.9480621621621622,530,9,22.91,1285,0.0002609766088426113,0.0004
23.11,232,5397,0.9465162162162163,530,10,23.11,1324,3.136575105600059e-05,0.0004
23.85,236,5610,0.9444054054054054,532,10,23.85,1377,2.2857679141452536e-05,0.0004
23.74,240,5683,0.9436819819819819,532,10,23.74,1395,0.00011506297596497461,0.0004
23.54,244,5748,0.9430378378378379,532,10,23.54,1411,2.4851093257893808e-05,0.0004
23.75,248,5862,0.9419081081081081,531,11,23.75,1440,1.7119498807005584e-05,0.0004
23.87,252,5960,0.9409369369369369,531,11,23.87,1464,2.6283407351002097e-05,0.0004
23.95,256,6050,0.940045045045045,529,11,23.95,1487,0.00017158595437649637,0.0004
24.21,260,6138,0.939172972972973,528,11,24.21,1509,3.666281554615125e-05,0.0004
23.55,264,6204,0.9385189189189189,528,11,23.55,1525,9.814828808885068e-05,0.0004
23.2,268,6266,0.9379045045045046,528,11,23.2,1541,4.6122335334075615e-05,0.0004
23.01,272,6331,0.9372603603603604,528,11,23.01,1557,3.972835111198947e-05,0.0004
22.84,276,6393,0.9366459459459459,528,12,22.84,1573,6.453647802118212e-05,0.0004
22.49,280,6461,0.935972072072072,528,12,22.49,1590,1.4338966138893738e-05,0.0004
22.3,284,6558,0.9350108108108108,527,12,22.3,1614,9.330827015219256e-05,0.0004
22.41,288,6643,0.9341684684684685,526,12,22.41,1635,0.0001813885464798659,0.0004
22.64,292,6740,0.9332072072072072,526,12,22.64,1659,0.00011176086991326883,0.0004
22.44,296,6821,0.9324045045045045,525,12,22.44,1680,2.3297430743696168e-05,0.0004
22.64,300,6918,0.9314432432432432,525,13,22.64,1704,2.954768751806114e-05,0.0004
23.08,304,7025,0.9303828828828828,524,13,23.08,1731,4.003122739959508e-05,0.0004
24.12,308,7195,0.9286981981981982,524,13,24.12,1773,2.533154474804178e-05,0.0004
24.56,312,7332,0.9273405405405405,524,13,24.56,1807,4.861515844822861e-05,0.0004
24.22,316,7408,0.9265873873873873,524,14,24.22,1826,1.6552399756619707e-05,0.0004
24.57,320,7524,0.9254378378378378,524,14,24.57,1855,1.816785879782401e-05,0.0004
24.47,324,7602,0.9246648648648649,524,14,24.47,1875,3.3467709727119654e-05,0.0004
24.41,328,7682,0.9238720720720721,524,14,24.41,1895,3.642473529907875e-05,0.0004
24.17,332,7814,0.922563963963964,524,14,24.17,1928,0.0002516170497983694,0.0004
23.3,336,7940,0.9213153153153153,524,15,23.3,1959,3.690013545565307e-05,0.0004
23.63,340,8046,0.9202648648648649,523,15,23.63,1986,3.5946606658399105e-05,0.0004
23.96,344,8144,0.9192936936936937,523,15,23.96,2010,1.3550485164159909e-05,0.0004
23.8,348,8242,0.9183225225225226,523,15,23.8,2035,1.0847106750588864e-05,0.0004
24.24,352,8384,0.9169153153153153,524,15,24.24,2070,2.928936737589538e-05,0.0004
24.54,356,8504,0.9157261261261261,525,16,24.54,2100,4.699180499301292e-05,0.0004
24.53,360,8591,0.914863963963964,524,16,24.53,2122,3.0813709599897265e-05,0.0004
24.68,364,8672,0.9140612612612612,524,16,24.68,2142,3.174749872414395e-05,0.0004
25.78,368,8844,0.9123567567567568,522,16,25.78,2185,1.5414339941344224e-05,0.0004
26.4,372,8971,0.9110981981981983,522,17,26.4,2217,9.948782462743111e-06,0.0004
27.05,376,9098,0.9098396396396395,521,17,27.05,2249,2.4750865122769028e-05,0.0004
26.93,380,9154,0.9092846846846847,521,17,26.93,2263,8.879537926986814e-05,0.0004
26.83,384,9241,0.9084225225225225,521,17,26.83,2285,1.4255921087169554e-05,0.0004
27.17,388,9360,0.9072432432432432,521,17,27.17,2314,1.0578602086752653e-05,0.0004
27.31,392,9471,0.9061432432432432,521,18,27.31,2342,3.751974509214051e-05,0.0004
27.81,396,9602,0.904845045045045,521,18,27.81,2375,3.7541743949986994e-05,0.0004
27.43,400,9661,0.9042603603603604,521,18,27.43,2390,0.00016399846936110407,0.0004
27.21,404,9746,0.903418018018018,521,18,27.21,2411,5.239080201135948e-05,0.0004
26.35,408,9830,0.9025855855855855,520,18,26.35,2432,8.514229193679057e-06,0.0004
25.77,412,9909,0.9018027027027027,520,19,25.77,2452,1.8416270904708654e-05,0.0004
25.81,416,9989,0.9010099099099098,519,19,25.81,2472,0.000136662827571854,0.0004
25.54,420,10078,0.900127927927928,519,19,25.54,2494,0.04223422706127167,0.0004
25.71,424,10173,0.8991864864864865,519,19,25.71,2518,0.04576266184449196,0.0004
25.68,428,10250,0.8984234234234234,519,19,25.68,2537,0.005348208826035261,0.0004
25.21,432,10335,0.897581081081081,519,19,25.21,2558,0.01784355193376541,0.0004
24.87,436,10427,0.8966693693693694,518,20,24.87,2581,0.016123991459608078,0.0004
24.77,440,10523,0.895718018018018,518,20,24.77,2605,0.05122357979416847,0.0004
24.78,444,10622,0.8947369369369369,519,20,24.78,2630,0.02516653575003147,0.0004
24.63,448,10705,0.8939144144144144,519,20,24.63,2651,0.01117826346307993,0.0004
24.44,452,10828,0.8926954954954954,519,20,24.44,2681,0.026181135326623917,0.0004
24.54,456,10958,0.8914072072072072,519,21,24.54,2714,0.01081816852092743,0.0004
24.89,460,11080,0.8901981981981982,519,21,24.89,2744,0.007335039786994457,0.0004
24.83,464,11155,0.889454954954955,519,21,24.83,2763,0.03780079632997513,0.0004
24.49,468,11293,0.8880873873873874,519,21,24.49,2798,0.011109095066785812,0.0004
24.19,472,11390,0.8871261261261261,519,21,24.19,2822,0.00431105587631464,0.0004
24.42,476,11540,0.8856396396396397,518,22,24.42,2859,0.021844293922185898,0.0004
24.66,480,11620,0.8848468468468469,518,22,24.66,2879,0.013665313832461834,0.0004
24.4,484,11681,0.8842423423423423,518,22,24.4,2895,0.022834382951259613,0.0004
24.22,488,11782,0.8832414414414415,519,22,24.22,2920,0.04014935344457626,0.0004
23.96,492,11867,0.8823990990990991,519,22,23.96,2941,0.04166208952665329,0.0004
23.98,496,12000,0.8810810810810811,519,23,23.98,2974,0.004566574934870005,0.0004
24.37,500,12098,0.8801099099099099,519,23,24.37,2999,0.010144252330064774,0.0004
24.27,504,12173,0.8793666666666666,518,23,24.27,3018,0.022422512993216515,0.0004
24.73,508,12303,0.8780783783783784,518,23,24.73,3050,0.002688529435545206,0.0004
24.74,512,12383,0.8772855855855856,518,23,24.74,3070,0.014090780168771744,0.0004
24.75,516,12464,0.8764828828828829,518,24,24.75,3090,0.007140069268643856,0.0004
