train/n_updates,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/iterations,train/value_loss,rollout/ep_len_mean,train/learning_rate,train/entropy_loss,train/explained_variance,train/policy_loss
4299,21500,-223.10781546875,103,206,4300,81.65309143066406,222.59375,0.0007,-0.6709296107292175,-4.494190216064453e-05,5.066816806793213
4399,22000,-218.1864693298969,106,206,4400,0.9007806777954102,224.4020618556701,0.0007,-0.6917612552642822,-6.401538848876953e-05,0.4265696704387665
4499,22500,-216.81540001020406,108,206,4500,0.0003113684360869229,225.5204081632653,0.0007,-0.3372206389904022,-0.03443038463592529,0.001329381368122995
4599,23000,-209.61648841,111,205,4600,67.77495574951172,227.89,0.0007,-0.5091280341148376,-0.00039589405059814453,-3.5391900539398193
4699,23500,-204.49661098,115,203,4700,314.6697998046875,230.09,0.0007,-0.04291877523064613,-0.9396514892578125,0.09326862543821335
4799,24000,-204.49661098,118,201,4800,0.009615502320230007,230.09,0.0007,-0.551801323890686,0.03775817155838013,-0.0490473210811615
4899,24500,-197.58902352,122,200,4900,0.6877391338348389,240.75,0.0007,-0.22777314484119415,-0.00016891956329345703,-0.011960986070334911
4999,25000,-188.12126611000002,125,199,5000,92.7287368774414,242.06,0.0007,-0.6271327137947083,-0.011304497718811035,-4.904337406158447
5099,25500,-176.22458485000004,129,197,5100,24.921142578125,245.78,0.0007,-0.3542749285697937,1.7285346984863281e-06,-4.387312412261963
5199,26000,-175.89072950000005,132,196,5200,0.7815729379653931,248.09,0.0007,-0.600666344165802,7.62939453125e-06,0.20988814532756805
5299,26500,-173.12213453,135,195,5300,1964.4996337890625,250.85,0.0007,-0.06286130100488663,-0.0029506683349609375,-1.0644843578338623
5399,27000,-167.37595387000002,139,193,5400,24.086986541748047,253.5,0.0007,-0.6399512887001038,-2.193450927734375e-05,-1.7760380506515503
5499,27500,-160.53832433999997,142,192,5500,1.1655758619308472,255.28,0.0007,-0.6671628355979919,1.430511474609375e-06,0.4092518389225006
5599,28000,-157.55832083999996,146,191,5600,0.37895166873931885,258.17,0.0007,-0.6885707378387451,-8.940696716308594e-06,-0.14927683770656586
5699,28500,-152.14394987999998,149,190,5700,4.364521026611328,259.12,0.0007,-0.46029338240623474,0.0,0.6941726207733154
5799,29000,-146.70711801,153,189,5800,0.19011087715625763,261.93,0.0007,-0.4821794629096985,0.05948716402053833,0.12399899959564209
5899,29500,-136.82807784,156,188,5900,1.4909425973892212,265.7,0.0007,-0.48113375902175903,-2.4318695068359375e-05,-0.08197899162769318
5999,30000,-135.19929740000003,160,187,6000,32.292518615722656,266.11,0.0007,-0.7212942242622375,-0.03682422637939453,-2.845485210418701
6099,30500,-132.96686202,163,186,6100,15.610946655273438,272.12,0.0007,-0.8859217762947083,2.562999725341797e-06,-2.1275885105133057
6199,31000,-132.67026363000002,166,185,6200,56.36323165893555,273.7,0.0007,-0.6119107604026794,0.14970022439956665,4.948075294494629
6299,31500,-125.84223084,170,184,6300,27.922178268432617,277.12,0.0007,-0.47722670435905457,-2.3365020751953125e-05,-1.5965009927749634
6399,32000,-125.40164727,173,184,6400,934.4484252929688,278.33,0.0007,-0.4196096360683441,-0.022082090377807617,14.270182609558105
6499,32500,-122.69905408999999,177,183,6500,200.6340789794922,282.3,0.0007,-0.4709843695163727,-0.000118255615234375,2.6927402019500732
6599,33000,-119.77425996999999,180,182,6600,69.74267578125,286.56,0.0007,-0.6774318814277649,-1.430511474609375e-06,-5.402792930603027
6699,33500,-117.39012857,184,181,6700,26.889602661132812,287.17,0.0007,-0.5605487823486328,5.364418029785156e-07,-2.6778838634490967
6799,34000,-113.33047554999999,187,181,6800,2.242828845977783,289.31,0.0007,-0.6138758063316345,-4.172325134277344e-06,-0.14690001308918
6899,34500,-108.61024789,191,180,6900,53.04956817626953,293.23,0.0007,-0.7594899535179138,4.172325134277344e-07,4.00696325302124
6999,35000,-107.32077369999999,194,179,7000,370.0642395019531,294.2,0.0007,-0.6030240058898926,-0.0009826421737670898,5.652484893798828
7099,35500,-104.31132691,199,178,7100,0.2417999804019928,294.35,0.0007,-0.5852068066596985,-0.9165353775024414,0.45117148756980896
7199,36000,-104.31132691,202,177,7200,0.04175321012735367,294.35,0.0007,-0.6548451781272888,0.2957422733306885,-0.17354409396648407
7299,36500,-97.84666037999999,205,177,7300,59.7390251159668,299.62,0.0007,-0.6500162482261658,-3.647804260253906e-05,-4.39837646484375
7399,37000,-94.71692438,208,177,7400,91.77983856201172,302.1,0.0007,-0.0701809823513031,0.024504780769348145,0.12351232022047043
7499,37500,-91.89245816,211,177,7500,54.772857666015625,301.3,0.0007,-0.5750601887702942,-1.7404556274414062e-05,4.4526896476745605
7599,38000,-90.37001629000001,213,177,7600,36.05904006958008,299.6,0.0007,-0.228472039103508,0.00045359134674072266,-3.1299514770507812
7699,38500,-89.99804613999999,216,177,7700,123.57247161865234,300.47,0.0007,-0.6282522082328796,-2.384185791015625e-06,7.510425090789795
7799,39000,-91.30553857999999,219,177,7800,3.9423489570617676,299.22,0.0007,-0.04692329838871956,-0.005973100662231445,-0.014782552607357502
7899,39500,-92.5553921,222,177,7900,1.6580175161361694,298.98,0.0007,-0.5515395402908325,5.364418029785156e-07,-0.5324708819389343
7999,40000,-93.41120124000001,225,177,8000,42.24073028564453,292.0,0.0007,-0.7100933194160461,6.258487701416016e-06,4.358417510986328
8099,40500,-89.52688129,228,177,8100,7.945157051086426,293.33,0.0007,-0.5239999890327454,-9.775161743164062e-06,0.6911608576774597
8199,41000,-89.94588619000002,230,177,8200,111.9995346069336,293.04,0.0007,-0.8537996411323547,4.112720489501953e-06,-3.987293243408203
8299,41500,-85.22225573000001,234,177,8300,15.5300931930542,291.76,0.0007,-0.39282989501953125,-2.0265579223632812e-06,3.050663471221924
8399,42000,-85.22225573000001,237,176,8400,0.13574671745300293,291.76,0.0007,-0.9659871459007263,0.04925185441970825,0.19498561322689056
8499,42500,-81.53663233,240,176,8500,8.647685050964355,298.18,0.0007,-0.28424546122550964,2.282857894897461e-05,0.1960454285144806
8599,43000,-78.62660335000001,243,176,8600,44.21338653564453,298.27,0.0007,-0.6379934549331665,-0.0015780925750732422,2.9169249534606934
8699,43500,-76.19393174000001,246,176,8700,3.167417526245117,297.98,0.0007,-0.7032886147499084,-0.00011682510375976562,0.7367105484008789
8799,44000,-75.91839071,249,176,8800,23.20502281188965,297.21,0.0007,-0.3791038691997528,-1.919269561767578e-05,-5.595640659332275
8899,44500,-77.50967906,252,176,8900,0.7259401679039001,298.81,0.0007,-0.4937222898006439,0.04954516887664795,-0.17205718159675598
8999,45000,-74.859544,255,176,9000,3.7823121547698975,302.58,0.0007,-1.0385138988494873,5.185604095458984e-06,0.5505967140197754
9099,45500,-76.75167364,258,176,9100,3.074601650238037,303.63,0.0007,-0.5026132464408875,-0.0006089210510253906,0.45466166734695435
9199,46000,-75.14173599,261,176,9200,0.027089828625321388,304.07,0.0007,-0.39302417635917664,-0.29202139377593994,-0.10351148992776871
9299,46500,-72.299743,263,176,9300,7.064023017883301,300.12,0.0007,-0.9939079284667969,8.940696716308594e-07,-1.9313583374023438
9399,47000,-70.54412264000001,266,176,9400,6.715312480926514,301.16,0.0007,-0.36415693163871765,-2.7894973754882812e-05,-0.1527375727891922
9499,47500,-69.2953866,269,176,9500,62.92725372314453,302.64,0.0007,-0.42028895020484924,-0.2210254669189453,0.9614679217338562
